Id,Date,Stage,SortOrder
0068d000002OraQAAS,2022-04-19,Prospecting,1
0068d000002OraQAAS,2022-03-20,Prospecting,1
0068d000002OraQAAS,2022-05-09,Value Proposition,4
0068d000002OraQAAS,2022-10-21,ExpectedCloseDate,11
0068d000002OraRAAS,2022-03-07,Opened,0
0068d000002OraRAAS,2022-05-11,Prospecting,1
0068d000002OraRAAS,2022-03-08,Prospecting,1
0068d000002OraRAAS,2022-04-19,Prospecting,1
0068d000002OraRAAS,2022-05-23,Closed Lost,10
0068d000002OraSAAS,2022-05-02,Opened,0
0068d000002OraSAAS,2022-05-03,Prospecting,1
0068d000002OraSAAS,2022-07-29,Negotiation/Review,8
0068d000002OraSAAS,2022-08-03,Closed Won,9
0068d000002OraTAAS,2022-03-22,Opened,0
0068d000002OraTAAS,2022-03-23,Prospecting,1
0068d000002OraTAAS,2022-04-25,Value Proposition,4
0068d000002OraTAAS,2022-12-29,ExpectedCloseDate,11
0068d000002OraUAAS,2022-03-09,Opened,0
0068d000002OraUAAS,2022-03-19,Closed Won,9
0068d000002OraVAAS,2022-05-22,Opened,0
0068d000002OraVAAS,2022-05-27,Qualification,2
0068d000002OraVAAS,2022-06-01,Closed Won,9
0068d000002OraWAAS,2022-03-02,Opened,0
0068d000002OraWAAS,2022-03-03,Prospecting,1
0068d000002OraWAAS,2022-04-04,Closed Lost,10
0068d000002OraXAAS,2022-03-05,Opened,0
0068d000002OraXAAS,2022-04-08,Prospecting,1
0068d000002OraXAAS,2022-03-06,Prospecting,1
0068d000002OraXAAS,2022-04-14,Closed Won,9
0068d000002OraYAAS,2022-03-05,Opened,0
0068d000002OraYAAS,2022-03-06,Prospecting,1
0068d000002OraYAAS,2022-04-10,Closed Lost,10
0068d000002OraaAAC,2022-01-22,Opened,0
0068d000002OraaAAC,2022-02-01,Closed Lost,10
0068d000002OrabAAC,2022-06-29,Opened,0
0068d000002OrabAAC,2022-07-04,Prospecting,1
0068d000002OrabAAC,2022-07-09,Closed Lost,10
0068d000002OracAAC,2022-04-03,Opened,0
0068d000002OracAAC,2022-04-04,Prospecting,1
0068d000002OracAAC,2022-07-04,Negotiation/Review,8
0068d000002OracAAC,2022-07-09,ExpectedCloseDate,11
0068d000002OradAAC,2022-03-08,Opened,0
0068d000002OradAAC,2022-03-09,Prospecting,1
0068d000002OradAAC,2022-04-18,Closed Lost,10
0068d000002OraeAAC,2022-05-18,Opened,0
0068d000002OraeAAC,2022-05-28,Negotiation/Review,8
0068d000002OraeAAC,2022-06-02,ExpectedCloseDate,11
0068d000002OrafAAC,2022-07-26,Opened,0
0068d000002OrafAAC,2022-07-31,Negotiation/Review,8
0068d000002OrafAAC,2022-08-05,Closed Lost,10
0068d000002OragAAC,2022-03-03,Opened,0
0068d000002OragAAC,2022-03-04,Prospecting,1
0068d000002OragAAC,2022-05-11,Prospecting,1
0068d000002OragAAC,2022-03-09,Prospecting,1
0068d000002OragAAC,2022-04-17,Prospecting,1
0068d000002OragAAC,2022-05-17,Closed Won,9
0068d000002OrahAAC,2022-05-01,Opened,0
0068d000002OrahAAC,2022-05-02,Prospecting,1
0068d000002OrahAAC,2022-07-16,Prospecting,1
0068d000002OrahAAC,2022-06-02,Qualification,2
0068d000002OrahAAC,2022-07-21,ExpectedCloseDate,11
0068d000002OraiAAC,2022-03-12,Opened,0
0068d000002OraiAAC,2022-03-13,Prospecting,1
0068d000002OraiAAC,2022-09-08,Value Proposition,4
0068d000002OraiAAC,2022-09-13,Closed Lost,10
0068d000002OrajAAC,2022-03-04,Opened,0
0068d000002OrajAAC,2022-03-05,Prospecting,1
0068d000002OrajAAC,2022-04-09,Negotiation/Review,8
0068d000002OrajAAC,2022-09-21,ExpectedCloseDate,11
0068d000002OrakAAC,2022-04-30,Opened,0
0068d000002OrakAAC,2022-05-01,Prospecting,1
0068d000002OrakAAC,2022-11-28,Prospecting,1
0068d000002OrakAAC,2022-12-03,Closed Lost,10
0068d000002OramAAC,2022-04-04,Opened,0
0068d000002OramAAC,2022-04-05,Prospecting,1
0068d000002OramAAC,2022-05-05,Prospecting,1
0068d000002OramAAC,2022-05-08,Closed Won,9
0068d000002OranAAC,2022-05-08,Opened,0
0068d000002OranAAC,2022-05-18,Closed Lost,10
0068d000002OrapAAC,2022-04-24,Opened,0
0068d000002OrapAAC,2022-05-04,Closed Won,9
0068d000002OraqAAC,2022-05-21,Opened,0
0068d000002OraqAAC,2022-04-12,Qualification,2
0068d000002OraqAAC,2022-05-31,Negotiation/Review,8
0068d000002OraqAAC,2022-08-31,ExpectedCloseDate,11
0068d000002OrarAAC,2022-05-24,Opened,0
0068d000002OrarAAC,2022-05-29,Value Proposition,4
0068d000002OrarAAC,2022-04-01,Value Proposition,4
0068d000002OrarAAC,2022-06-03,Closed Lost,10
0068d000002OrasAAC,2022-02-21,Opened,0
0068d000002OrasAAC,2022-03-03,Closed Won,9
0068d000002OratAAC,2022-04-11,Opened,0
0068d000002OratAAC,2022-04-12,Prospecting,1
0068d000002OratAAC,2022-05-14,Closed Won,9
0068d000002OrauAAC,2022-08-22,Opened,0
0068d000002OrauAAC,2022-08-27,Qualification,2
0068d000002OrauAAC,2022-09-01,Closed Won,9
0068d000002OravAAC,2022-03-31,Opened,0
0068d000002OravAAC,2022-05-10,Prospecting,1
0068d000002OravAAC,2022-04-01,Prospecting,1
0068d000002OravAAC,2022-04-11,Prospecting,1
0068d000002OravAAC,2022-03-04,Qualification,2
0068d000002OravAAC,2022-12-13,Value Proposition,4
0068d000002OravAAC,2022-04-05,Negotiation/Review,8
0068d000002OravAAC,2022-12-18,Closed Lost,10
0068d000002OrawAAC,2022-08-23,Opened,0
0068d000002OrawAAC,2022-08-28,Negotiation/Review,8
0068d000002OrawAAC,2022-09-02,Closed Won,9
0068d000002OraxAAC,2022-08-23,Opened,0
0068d000002OraxAAC,2022-08-28,Prospecting,1
0068d000002OraxAAC,2022-09-02,Closed Won,9
0068d000002OrazAAC,2022-03-11,Opened,0
0068d000002OrazAAC,2022-03-21,Negotiation/Review,8
0068d000002OrazAAC,2022-09-28,ExpectedCloseDate,11
0068d000002Orb0AAC,2022-06-01,Opened,0
0068d000002Orb0AAC,2022-06-02,Prospecting,1
0068d000002Orb0AAC,2022-10-29,Value Proposition,4
0068d000002Orb0AAC,2022-11-03,Closed Lost,10
0068d000002Orb1AAC,2022-03-16,Opened,0
0068d000002Orb1AAC,2022-12-16,Prospecting,1
0068d000002Orb1AAC,2022-04-07,Prospecting,1
0068d000002Orb1AAC,2022-03-17,Prospecting,1
0068d000002Orb1AAC,2022-04-11,Qualification,2
0068d000002Orb1AAC,2022-05-21,Value Proposition,4
0068d000002Orb1AAC,2022-03-03,Value Proposition,4
0068d000002Orb1AAC,2022-04-04,Value Proposition,4
0068d000002Orb1AAC,2022-05-08,Negotiation/Review,8
0068d000002Orb1AAC,2022-12-21,Closed Won,9
0068d000002Orb2AAC,2022-03-03,Opened,0
0068d000002Orb2AAC,2022-03-13,Prospecting,1
0068d000002Orb2AAC,2022-03-05,Prospecting,1
0068d000002Orb2AAC,2022-04-13,ExpectedCloseDate,11
0068d000002Orb3AAC,2022-03-04,Opened,0
0068d000002Orb3AAC,2022-06-20,Prospecting,1
0068d000002Orb3AAC,2022-05-17,Qualification,2
0068d000002Orb3AAC,2022-03-14,Negotiation/Review,8
0068d000002Orb3AAC,2022-06-25,ExpectedCloseDate,11
0068d000002Orb5AAC,2022-05-06,Opened,0
0068d000002Orb5AAC,2022-05-07,Prospecting,1
0068d000002Orb5AAC,2022-12-09,Negotiation/Review,8
0068d000002Orb5AAC,2022-12-14,Closed Won,9
0068d000002Orb6AAC,2022-03-06,Opened,0
0068d000002Orb6AAC,2022-03-07,Prospecting,1
0068d000002Orb6AAC,2022-04-16,Closed Won,9
0068d000002Orb7AAC,2022-03-06,Opened,0
0068d000002Orb7AAC,2022-03-16,Closed Won,9
0068d000002Orb8AAC,2022-04-02,Opened,0
0068d000002Orb8AAC,2022-04-03,Prospecting,1
0068d000002Orb8AAC,2022-04-05,Prospecting,1
0068d000002Orb8AAC,2022-07-31,Negotiation/Review,8
0068d000002Orb8AAC,2022-08-05,Closed Lost,10
0068d000002Orb9AAC,2022-03-26,Opened,0
0068d000002Orb9AAC,2022-04-05,Closed Won,9
0068d000002OrbAAAS,2022-04-01,Opened,0
0068d000002OrbAAAS,2022-04-02,Prospecting,1
0068d000002OrbAAAS,2022-05-15,Prospecting,1
0068d000002OrbAAAS,2022-06-07,Qualification,2
0068d000002OrbAAAS,2022-05-13,Qualification,2
0068d000002OrbAAAS,2022-10-31,ExpectedCloseDate,11
0068d000002OrbBAAS,2022-03-25,Opened,0
0068d000002OrbBAAS,2022-03-26,Prospecting,1
0068d000002OrbBAAS,2022-04-05,Prospecting,1
0068d000002OrbBAAS,2022-03-29,Prospecting,1
0068d000002OrbBAAS,2022-05-22,Prospecting,1
0068d000002OrbBAAS,2022-04-19,Qualification,2
0068d000002OrbBAAS,2022-06-06,Qualification,2
0068d000002OrbBAAS,2022-03-28,Value Proposition,4
0068d000002OrbBAAS,2022-04-04,Negotiation/Review,8
0068d000002OrbBAAS,2022-09-30,ExpectedCloseDate,11
0068d000002OrbCAAS,2022-03-03,Opened,0
0068d000002OrbCAAS,2022-03-04,Prospecting,1
0068d000002OrbCAAS,2022-03-25,Prospecting,1
0068d000002OrbCAAS,2022-05-02,Qualification,2
0068d000002OrbCAAS,2022-04-17,Value Proposition,4
0068d000002OrbCAAS,2022-05-07,Negotiation/Review,8
0068d000002OrbCAAS,2022-06-27,Closed Lost,10
0068d000002OrbEAAS,2022-04-04,Opened,0
0068d000002OrbEAAS,2022-04-05,Prospecting,1
0068d000002OrbEAAS,2022-05-22,Closed Won,9
0068d000002OrbFAAS,2022-03-19,Opened,0
0068d000002OrbFAAS,2022-03-20,Prospecting,1
0068d000002OrbFAAS,2022-04-05,Prospecting,1
0068d000002OrbFAAS,2022-06-03,Qualification,2
0068d000002OrbFAAS,2022-07-30,ExpectedCloseDate,11
0068d000002OrbGAAS,2022-03-05,Opened,0
0068d000002OrbGAAS,2022-03-06,Prospecting,1
0068d000002OrbGAAS,2022-04-10,Closed Lost,10
0068d000002OrbHAAS,2022-05-11,Opened,0
0068d000002OrbHAAS,2022-05-12,Prospecting,1
0068d000002OrbHAAS,2022-05-07,Negotiation/Review,8
0068d000002OrbHAAS,2022-12-16,Closed Won,9
0068d000002OrbJAAS,2022-07-08,Opened,0
0068d000002OrbJAAS,2022-03-13,Qualification,2
0068d000002OrbJAAS,2022-07-13,Value Proposition,4
0068d000002OrbJAAS,2022-07-18,Closed Lost,10
0068d000002OrbLAAS,2022-03-07,Opened,0
0068d000002OrbLAAS,2022-05-26,Prospecting,1
0068d000002OrbLAAS,2022-03-17,Value Proposition,4
0068d000002OrbLAAS,2022-05-31,ExpectedCloseDate,11
0068d000002OrbMAAS,2022-03-16,Opened,0
0068d000002OrbMAAS,2022-03-22,Prospecting,1
0068d000002OrbMAAS,2022-05-19,Prospecting,1
0068d000002OrbMAAS,2022-03-17,Prospecting,1
0068d000002OrbMAAS,2022-04-14,Prospecting,1
0068d000002OrbMAAS,2022-05-05,Prospecting,1
0068d000002OrbMAAS,2022-05-24,ExpectedCloseDate,11
0068d000002OrbNAAS,2022-03-04,Opened,0
0068d000002OrbNAAS,2022-05-05,Prospecting,1
0068d000002OrbNAAS,2022-03-05,Prospecting,1
0068d000002OrbNAAS,2022-04-08,Prospecting,1
0068d000002OrbNAAS,2022-04-11,Qualification,2
0068d000002OrbNAAS,2022-03-17,Value Proposition,4
0068d000002OrbNAAS,2022-10-24,ExpectedCloseDate,11
0068d000002OrbOAAS,2022-03-24,Opened,0
0068d000002OrbOAAS,2022-04-03,Closed Lost,10
0068d000002OrbPAAS,2022-03-10,Opened,0
0068d000002OrbPAAS,2022-03-11,Prospecting,1
0068d000002OrbPAAS,2022-03-16,Prospecting,1
0068d000002OrbPAAS,2022-04-17,Closed Lost,10
0068d000002OrbQAAS,2022-05-05,Opened,0
0068d000002OrbQAAS,2022-05-06,Prospecting,1
0068d000002OrbQAAS,2022-05-10,Prospecting,1
0068d000002OrbQAAS,2022-11-09,Negotiation/Review,8
0068d000002OrbQAAS,2022-11-14,Closed Won,9
0068d000002OrbRAAS,2022-04-30,Opened,0
0068d000002OrbRAAS,2022-05-01,Prospecting,1
0068d000002OrbRAAS,2022-12-03,Value Proposition,4
0068d000002OrbRAAS,2022-12-08,Closed Lost,10
0068d000002OrbSAAS,2022-02-05,Opened,0
0068d000002OrbSAAS,2022-02-15,Closed Won,9
0068d000002OrbTAAS,2022-01-29,Opened,0
0068d000002OrbTAAS,2022-02-08,Closed Won,9
0068d000002OrbUAAS,2022-03-12,Opened,0
0068d000002OrbUAAS,2022-03-19,Prospecting,1
0068d000002OrbUAAS,2022-04-08,Prospecting,1
0068d000002OrbUAAS,2022-03-13,Prospecting,1
0068d000002OrbUAAS,2022-05-22,Value Proposition,4
0068d000002OrbUAAS,2022-08-23,ExpectedCloseDate,11
0068d000002OrbVAAS,2022-03-15,Opened,0
0068d000002OrbVAAS,2022-03-25,Prospecting,1
0068d000002OrbVAAS,2022-03-29,ExpectedCloseDate,11
0068d000002OrbWAAS,2022-03-20,Opened,0
0068d000002OrbWAAS,2022-05-15,Prospecting,1
0068d000002OrbWAAS,2022-05-04,Prospecting,1
0068d000002OrbWAAS,2022-03-21,Prospecting,1
0068d000002OrbWAAS,2022-06-21,ExpectedCloseDate,11
0068d000002OrbXAAS,2022-04-05,Opened,0
0068d000002OrbXAAS,2022-06-04,Prospecting,1
0068d000002OrbXAAS,2022-10-10,Value Proposition,4
0068d000002OrbXAAS,2022-04-15,Negotiation/Review,8
0068d000002OrbXAAS,2022-10-15,ExpectedCloseDate,11
0068d000002OrbYAAS,2022-06-27,Opened,0
0068d000002OrbYAAS,2022-07-02,Prospecting,1
0068d000002OrbYAAS,2022-04-06,Negotiation/Review,8
0068d000002OrbYAAS,2022-07-07,Closed Won,9
0068d000002OrbZAAS,2022-03-14,Opened,0
0068d000002OrbZAAS,2022-04-16,Prospecting,1
0068d000002OrbZAAS,2022-03-15,Prospecting,1
0068d000002OrbZAAS,2022-05-02,Prospecting,1
0068d000002OrbZAAS,2022-05-10,Value Proposition,4
0068d000002OrbZAAS,2022-06-21,Closed Won,9
0068d000002OrbbAAC,2022-04-16,Opened,0
0068d000002OrbbAAC,2022-04-17,Prospecting,1
0068d000002OrbbAAC,2022-11-14,Value Proposition,4
0068d000002OrbbAAC,2022-03-03,Negotiation/Review,8
0068d000002OrbbAAC,2022-11-19,Closed Won,9
0068d000002OrbdAAC,2022-02-24,Opened,0
0068d000002OrbdAAC,2022-03-06,Closed Won,9
0068d000002OrbeAAC,2022-06-02,Opened,0
0068d000002OrbeAAC,2022-06-07,Prospecting,1
0068d000002OrbeAAC,2022-06-03,Prospecting,1
0068d000002OrbeAAC,2022-09-10,Value Proposition,4
0068d000002OrbeAAC,2022-09-15,Closed Lost,10
0068d000002OrbfAAC,2022-03-14,Opened,0
0068d000002OrbfAAC,2022-03-15,Prospecting,1
0068d000002OrbfAAC,2022-04-17,Closed Won,9
0068d000002OrbgAAC,2022-03-08,Opened,0
0068d000002OrbgAAC,2022-03-12,Prospecting,1
0068d000002OrbgAAC,2022-03-09,Prospecting,1
0068d000002OrbgAAC,2022-04-20,Closed Won,9
0068d000002OrbhAAC,2022-06-01,Opened,0
0068d000002OrbhAAC,2022-06-02,Prospecting,1
0068d000002OrbhAAC,2022-10-28,Value Proposition,4
0068d000002OrbhAAC,2022-11-02,ExpectedCloseDate,11
0068d000002OrbiAAC,2022-07-26,Opened,0
0068d000002OrbiAAC,2022-05-03,Value Proposition,4
0068d000002OrbiAAC,2022-05-02,Value Proposition,4
0068d000002OrbiAAC,2022-08-05,Value Proposition,4
0068d000002OrbiAAC,2022-08-10,ExpectedCloseDate,11
0068d000002OrbjAAC,2022-06-17,Opened,0
0068d000002OrbjAAC,2022-06-27,Value Proposition,4
0068d000002OrbjAAC,2022-07-02,ExpectedCloseDate,11
0068d000002OrbkAAC,2022-10-25,Opened,0
0068d000002OrbkAAC,2022-10-30,Value Proposition,4
0068d000002OrbkAAC,2022-11-04,Closed Won,9
0068d000002OrblAAC,2022-02-25,Opened,0
0068d000002OrblAAC,2022-03-07,Closed Lost,10
0068d000002OrbmAAC,2022-03-04,Opened,0
0068d000002OrbmAAC,2022-03-05,Prospecting,1
0068d000002OrbmAAC,2022-03-08,Prospecting,1
0068d000002OrbmAAC,2022-04-24,Closed Lost,10
0068d000002OrbnAAC,2022-03-05,Opened,0
0068d000002OrbnAAC,2022-04-24,Prospecting,1
0068d000002OrbnAAC,2022-04-22,Prospecting,1
0068d000002OrbnAAC,2022-03-06,Prospecting,1
0068d000002OrbnAAC,2022-04-29,ExpectedCloseDate,11
0068d000002OrboAAC,2022-07-07,Opened,0
0068d000002OrboAAC,2022-07-17,Closed Won,9
0068d000002OrbpAAC,2022-04-02,Opened,0
0068d000002OrbpAAC,2022-06-02,Prospecting,1
0068d000002OrbpAAC,2022-05-05,Prospecting,1
0068d000002OrbpAAC,2022-04-08,Prospecting,1
0068d000002OrbpAAC,2022-04-03,Prospecting,1
0068d000002OrbpAAC,2022-04-07,Qualification,2
0068d000002OrbpAAC,2022-03-03,Value Proposition,4
0068d000002OrbpAAC,2022-05-12,Value Proposition,4
0068d000002OrbpAAC,2022-08-11,Negotiation/Review,8
0068d000002OrbpAAC,2022-08-16,ExpectedCloseDate,11
0068d000002OrbqAAC,2022-02-14,Opened,0
0068d000002OrbqAAC,2022-02-24,Closed Won,9
0068d000002OrbrAAC,2022-03-16,Opened,0
0068d000002OrbrAAC,2022-03-26,Prospecting,1
0068d000002OrbrAAC,2022-03-17,Prospecting,1
0068d000002OrbrAAC,2022-04-06,Negotiation/Review,8
0068d000002OrbrAAC,2022-05-08,Negotiation/Review,8
0068d000002OrbrAAC,2022-12-27,ExpectedCloseDate,11
0068d000002OrbsAAC,2022-05-10,Opened,0
0068d000002OrbsAAC,2022-05-15,Prospecting,1
0068d000002OrbsAAC,2022-05-19,Prospecting,1
0068d000002OrbsAAC,2022-03-20,Value Proposition,4
0068d000002OrbsAAC,2022-05-20,Value Proposition,4
0068d000002OrbsAAC,2022-12-23,ExpectedCloseDate,11
0068d000002OrbtAAC,2022-09-07,Opened,0
0068d000002OrbtAAC,2022-09-12,Prospecting,1
0068d000002OrbtAAC,2022-05-06,Negotiation/Review,8
0068d000002OrbtAAC,2022-09-17,Closed Lost,10
0068d000002OrbuAAC,2022-11-29,Opened,0
0068d000002OrbuAAC,2022-12-04,Value Proposition,4
0068d000002OrbuAAC,2022-12-09,Closed Won,9
0068d000002OrbvAAC,2022-03-26,Opened,0
0068d000002OrbvAAC,2022-05-25,Prospecting,1
0068d000002OrbvAAC,2022-04-05,Negotiation/Review,8
0068d000002OrbvAAC,2022-11-26,ExpectedCloseDate,11
0068d000002OrbxAAC,2022-03-31,Opened,0
0068d000002OrbxAAC,2022-04-01,Prospecting,1
0068d000002OrbxAAC,2022-06-27,Value Proposition,4
0068d000002OrbxAAC,2022-07-02,ExpectedCloseDate,11
0068d000002OrbyAAC,2022-10-07,Opened,0
0068d000002OrbyAAC,2022-10-12,Value Proposition,4
0068d000002OrbyAAC,2022-03-07,Negotiation/Review,8
0068d000002OrbyAAC,2022-10-17,Closed Won,9
0068d000002OrbzAAC,2022-06-02,Opened,0
0068d000002OrbzAAC,2022-06-02,Prospecting,1
0068d000002OrbzAAC,2022-04-12,Qualification,2
0068d000002OrbzAAC,2022-03-11,Qualification,2
0068d000002OrbzAAC,2022-04-07,Negotiation/Review,8
0068d000002OrbzAAC,2022-06-12,Closed Won,9
0068d000002Orc0AAC,2022-02-26,Opened,0
0068d000002Orc0AAC,2022-03-07,Prospecting,1
0068d000002Orc0AAC,2022-03-08,Closed Won,9
0068d000002Orc1AAC,2022-03-23,Opened,0
0068d000002Orc1AAC,2022-04-02,Closed Won,9
0068d000002Orc2AAC,2022-01-10,Opened,0
0068d000002Orc2AAC,2022-01-20,Closed Won,9
0068d000002Orc3AAC,2022-02-28,Opened,0
0068d000002Orc3AAC,2022-03-10,Closed Won,9
0068d000002Orc4AAC,2022-03-27,Opened,0
0068d000002Orc4AAC,2022-04-06,Closed Lost,10
0068d000002Orc5AAC,2022-05-10,Opened,0
0068d000002Orc5AAC,2022-05-20,Qualification,2
0068d000002Orc5AAC,2022-10-24,ExpectedCloseDate,11
0068d000002Orc7AAC,2022-07-27,Opened,0
0068d000002Orc7AAC,2022-08-01,Negotiation/Review,8
0068d000002Orc7AAC,2022-08-06,Closed Lost,10
